Town,Population_young,at_least_one_young,percent_young,Population_old,at_least_one_old,percent_old,percent_difference,absolute_growth_apr_22,percent_growth_apr_22
Hanover,4666,2647,56.729532790398636,5913,4537,76.7292406561813,19.999707865782668,426,8.153610985522405
Lincoln,3784,989,26.13636363636364,2104,2591,123.14638783269962,97.01002419633598,231,8.235898198538607
Salem,19510,8651,44.34136340338289,15716,11342,72.16849071010434,27.827127306721444,1479,8.243955791934198
Douglas,3443,1155,33.54632587859425,3631,2301,63.37097218397136,29.82464630537711,292,8.246380663875378
Sheffield,943,430,45.59915164369035,1640,1125,68.59756097560977,22.998409331919422,102,8.2476139978791
Essex,1239,604,48.74899112187247,1612,1209,75.0,26.251008878127532,117,8.247866585756157
East Brookfield,863,271,31.402085747392817,893,646,72.3404255319149,40.93833978452209,73,8.299260762542204
East Bridgewater,5467,2206,40.35119809767697,5898,4037,68.44693116310614,28.095733065429172,473,8.325764569227388
Seekonk,4875,1519,31.158974358974362,6180,3629,58.72168284789643,27.56270848892207,459,8.332486930545173
Rowley,2007,925,46.08868958644744,2751,2169,78.84405670665213,32.75536712020469,197,8.333374084923065
Georgetown,3108,1487,47.84427284427285,3629,2688,74.06999173325984,26.22571888898699,277,8.353556879321559
Marshfield,8243,4416,53.572728375591424,11770,9583,81.41886151231945,27.846133136728028,813,8.379699837487351
Belchertown,5538,2449,44.221740700613935,6636,4723,71.17239300783605,26.950652307222114,503,8.398508545593572
Whitman,6141,2454,39.9609184171959,5424,3682,67.8834808259587,27.922562408762804,485,8.405746664303322
Northbridge,6863,2281,33.23619408421973,6782,4507,66.4553229135948,33.219128829375066,575,8.43255623509581
West Bridgewater,2529,1116,44.12811387900357,3176,2090,65.80604534005036,21.677931461046793,240,8.434689092671078
Mashpee,4572,1700,37.18285214348207,8260,6307,76.35593220338983,39.173080059907754,497,8.448615533227837
Charlemont (includes Hawley),449,180,40.08908685968819,772,540,69.94818652849742,29.859099668809232,121,8.517352611514042
Millbury,5166,2225,43.07007355787844,5628,4118,73.16986496090973,30.099791403031297,458,8.51925043770693
Amesbury,6158,2922,47.45047093212082,6858,5436,79.26509186351707,31.814620931396252,548,8.524391850607302
Sandwich,6371,2936,46.08381729712761,10115,7755,76.66831438457736,30.58449708744975,654,8.533939432827609
Rockport,1649,835,50.6367495451789,3771,3338,88.51763457968708,37.88088503450818,210,8.537659090898146
Blackstone,3409,1126,33.030214139043714,3517,2252,64.03184532271823,31.00163118367451,296,8.548680244211326
Uxbridge,5353,1960,36.61498225294228,6990,4427,63.33333333333333,26.718351080391045,525,8.569470357028429
Brockton,39595,12369,31.238792776865765,32239,21881,67.87121188622476,36.63241910935899,3050,8.571995555624156
Raynham,5467,2321,42.45472837022133,6005,4428,73.73855120732723,31.283822837105898,493,8.603131924542495
Marion,1315,733,55.741444866920155,2301,2075,90.17818339852238,34.436738531602224,138,8.604293388723349
Harvard,3204,880,27.46566791510612,2484,2092,84.21900161030595,56.75333369519982,248,8.608804212126145
Wenham,2031,763,37.567700640078776,1715,1308,76.26822157434404,38.700520934265256,162,8.611420934695914
Hadley,2192,945,43.11131386861314,2563,1874,73.11744049941473,30.006126630801592,202,8.620999000373061
Conway,575,221,38.43478260869565,959,726,75.70385818561,37.269075576914354,63,8.658475767330074
Fall River,36367,10244,28.168394423515824,32628,19735,60.48485962976584,32.31646520625001,3009,8.690240508827458
Winthrop,6566,3744,57.02101736216875,8736,5817,66.58653846153845,9.565521099369704,628,8.694312972031518
Newburyport,5386,3180,59.04196063869289,8715,7641,87.67641996557659,28.634459326883693,569,8.699181639826477
Avon,1578,745,47.21166032953105,1867,1304,69.84467059453671,22.63301026500566,148,8.702105748362456
Halifax,2698,1083,40.14084507042253,3297,2383,72.27782832878373,32.1369832583612,264,8.727805429065583
Worcester,85202,30330,35.59775592122251,56914,41315,72.59198088343817,36.994224962215654,6274,8.733979128674605
Gloucester,8937,4459,49.893700346872556,14555,11259,77.35486087255241,27.46116052567985,993,8.796156091995115
West Newbury,1136,735,64.70070422535211,1920,1772,92.29166666666669,27.59096244131457,122,8.798415492957758
Amherst (includes Pelham),22112,4770,21.571997105644,7802,6850,87.79800051268906,66.22600340704506,1334,8.803384860685469
Saugus,10641,5224,49.093130344892394,12141,8994,74.079565109958,24.986434765065603,988,8.823901155595237
North Reading,6084,2974,48.88231426692965,6652,4973,74.75947083583884,25.877156568909196,558,8.82774450932088
Pembroke,6702,3077,45.91166815875857,7456,5531,74.1818669527897,28.270198794031128,624,8.85496514396445
Norton,7788,2914,37.41653826399589,7712,5359,69.48910788381744,32.07256961982155,688,8.875608181114913
Harwich,3201,1650,51.546391752577314,7396,6079,82.19307733910222,30.646685586524907,405,8.91349951652819
Hanson,3916,1674,42.747701736465785,4154,3185,76.67308618199327,33.925384445527484,361,8.943531543245925
Wakefield,10465,5706,54.524605828953646,10764,8528,79.2270531400966,24.702447311142954,948,8.958698306524369
Boxford,2081,1383,66.45843344545891,3641,2704,74.26531172754738,7.806878282088476,241,8.966188244538927
Oakham,767,231,30.11734028683181,940,611,65.0,34.882659713168195,76,8.972925739965028
Norfolk,5194,2377,45.76434347323836,4806,3767,78.38119017894299,32.616846705704624,451,9.00795293266296
Cheshire,959,415,43.27424400417103,1480,1154,77.97297297297298,34.69872896880195,107,9.028407970013845
Granby,2223,820,36.88708951866847,2633,1840,69.88226357766807,32.9951740589996,221,9.030901091188554
Wilmington,8820,4503,51.05442176870748,9763,6995,71.64805899825873,20.593637229551252,837,9.060510748735965
